model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
KNN,0.6101666666666666,0.013999007901355805,0.618347012780117,0.013987100491009562,0.692545639445909,0.016635407957887285,0.6532196164956112,0.011288190841227284,0.6453919587602777,0.012406471106631201
SVM,0.6681666666666667,0.014946664436514847,0.663781821600642,0.016195783637675945,0.7591965087921961,0.01579145106290957,0.7081405244414012,0.01113924490085591,0.73153463427561,0.011423202078599788
MLP,0.6833333333333333,0.008270597183866347,0.6921006646347438,0.013775852342935562,0.72650197960171,0.01821722382378715,0.7086502907170236,0.00653677892250167,0.7465818791509994,0.012339037538216007
XGBoost,0.6858333333333333,0.012304019216861166,0.700799242528236,0.008807343323627368,0.7107885824866956,0.01913934630073015,0.7057155714906578,0.013401657163327302,0.7558239983078627,0.007687668594693846
