model,accuracy,precision,recall,f1,roc_auc,fold
KNN,0.6241666666666666,0.6306179775280899,0.7048665620094191,0.6656782802075611,0.6559709004519967,1
KNN,0.6,0.6042780748663101,0.710691823899371,0.653179190751445,0.6334512578616353,2
KNN,0.6133333333333333,0.6207865168539326,0.6949685534591195,0.655786350148368,0.6461734466300906,3
KNN,0.6216666666666667,0.6326530612244898,0.6823899371069182,0.6565809379727685,0.6591061153485882,4
KNN,0.5916666666666667,0.603399433427762,0.6698113207547169,0.6348733233979136,0.6322580735090771,5
