model,accuracy,precision,recall,f1,roc_auc,fold
SVM,0.6766666666666666,0.6746143057503506,0.7551020408163265,0.7125925925925926,0.725989945096771,1
SVM,0.6458333333333334,0.6431478968792401,0.7452830188679245,0.6904588492352512,0.7154478344261563,2
SVM,0.6708333333333333,0.6587615283267457,0.7861635220125787,0.7168458781362007,0.7415348030688256,3
SVM,0.685,0.6848137535816619,0.7515723270440252,0.7166416791604198,0.7430416164860163,4
SVM,0.6625,0.6575716234652115,0.7578616352201258,0.704163623082542,0.731658972300281,5
