model,accuracy,precision,recall,f1,roc_auc,fold
MLP,0.6816666666666666,0.6911544227886057,0.7237048665620094,0.7070552147239264,0.7333136287716343,1
MLP,0.6766666666666666,0.6873111782477341,0.7154088050314465,0.7010785824345146,0.737399081136536,2
MLP,0.6825,0.6798307475317349,0.7578616352201258,0.7167286245353159,0.7590743342700388,3
MLP,0.6975,0.7156398104265402,0.7122641509433962,0.7139479905437353,0.7600166153708907,4
MLP,0.6783333333333333,0.6865671641791045,0.7232704402515723,0.7044410413476263,0.7431057362058968,5
