model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
KNN,0.6008333333333333,0.014684175155588407,0.6080345792175684,0.013575080528023418,0.6966366517579455,0.016062863697634606,0.6491985629093859,0.010745790743269899,0.6383532872567235,0.015151726375260374
SVM,0.6685,0.007486098227158559,0.6655812864494193,0.009004877579273818,0.7538530651738199,0.02385882506288955,0.7067440076379681,0.009190786538379056,0.7284179743024206,0.007982298698461694
MLP,0.6795,0.0043938087754880365,0.6900981047187345,0.016716866681761124,0.7208490072371474,0.04291067556355666,0.704176655091929,0.011961707373388862,0.7416499808754338,0.008781782865336481
XGBoost,0.6958333333333334,0.01345001032630749,0.7100750550212283,0.014442041103781634,0.7208485135708855,0.017257569672953443,0.7153164173064441,0.012488268095561913,0.7657526700453413,0.0121738500185997
