model,accuracy,precision,recall,f1,roc_auc,fold
SVM,0.6591666666666667,0.6574585635359116,0.7472527472527473,0.6994856722997795,0.7219900120179237,1
SVM,0.6716666666666666,0.6644021739130435,0.7688679245283019,0.7128279883381924,0.7226320308666755,2
SVM,0.6775,0.6671140939597315,0.7814465408805031,0.719768283852281,0.7416839511128954,3
SVM,0.6716666666666666,0.6800595238095238,0.7185534591194969,0.6987767584097859,0.7292210290378697,4
SVM,0.6625,0.6588720770288858,0.7531446540880503,0.7028613352898019,0.7265628484767384,5
