model,accuracy,precision,recall,f1,roc_auc,fold
KNN,0.5758333333333333,0.5844327176781002,0.695447409733124,0.6351254480286739,0.6149008312164872,1
KNN,0.6041666666666666,0.6092265943012212,0.7059748427672956,0.6540422432629279,0.6316057250546412,2
KNN,0.6091666666666666,0.6174402250351617,0.690251572327044,0.651818856718634,0.647504627771087,3
KNN,0.6016666666666667,0.6128571428571429,0.6745283018867925,0.6422155688622755,0.6459211494714304,4
KNN,0.6133333333333333,0.6162162162162163,0.7169811320754716,0.6627906976744186,0.6518341027699719,5
