model,accuracy,precision,recall,f1,roc_auc,fold
XGBoost,0.6775,0.6940993788819876,0.7017268445839875,0.6978922716627635,0.7497093112419171,1
XGBoost,0.6975,0.7022222222222222,0.7452830188679245,0.7231121281464531,0.7698325081404167,2
XGBoost,0.7133333333333334,0.7288401253918495,0.7311320754716981,0.7299843014128728,0.781917681430929,3
XGBoost,0.7016666666666667,0.7213375796178344,0.7122641509433962,0.7167721518987342,0.7685835675097016,4
XGBoost,0.6891666666666667,0.703875968992248,0.7138364779874213,0.7088212334113974,0.7587202819037424,5
