feature,score
m_bb,2017.5842794430105
m_wwbb,1898.0628635931214
missing_energy_magnitude,836.0451913314203
m_wbb,449.045019362036
jet1_pt,325.57226321296525
jet2_b_tag,236.1723262329066
jet4_pt,154.81760942257134
lepton_pT,100.61921199254101
m_jjj,86.36701079079279
jet2_pt,48.15527500465521
jet3_b_tag,47.64163578188764
m_jj,24.6267192227
jet4_b_tag,21.8715017832587
jet3_pt,13.777343621114037
jet1_b_tag,13.444688770295603
m_lv,5.27150881340166
jet4_phi,5.002135468541336
m_jlv,4.059041648603369
missing_energy_phi,3.370141255824634
jet1_phi,2.3641849919707676
jet4_eta,1.9866693747369162
jet2_phi,1.6622683071482578
lepton_eta,1.1188107031329855
lepton_phi,0.9403989136638939
jet2_eta,0.6232278916813138
jet3_phi,0.28918232088746426
jet3_eta,0.038178468276461826
jet1_eta,0.011718241627488423
